ep_rets,avg_losses
-9851.393599510193,2397.2665850422923
-19776.813168525696,2394.2004168787726
126.05720520019531,2375.7113224922186
-19776.813168525696,2372.8538780029385
-19776.813168525696,2370.038407149747
-19776.813168525696,2367.265238582524
-9817.139889717102,2357.0446361911327
-9832.29617023468,2346.9869942707855
-19776.813168525696,2344.443585220047
-19776.813168525696,2341.9373291709717
-19776.813168525696,2339.4673758945455
-9817.139889717102,2329.812751300989
-9832.29617023468,2320.302412401295
-9817.139889717102,2310.9135242984694
-9832.29617023468,2301.666274797357
-9817.139889717102,2292.537620660612
-9817.139889717102,2283.536075002543
-9832.29617023468,2274.6691645614196
-9817.139889717102,2265.9130445483206
122.9806776046753,2250.4673323879983
112.66811656951904,2235.2372864853273
-9817.139889717102,2226.9209278526446
-9832.29617023468,2218.7249702046556
-9817.139889717102,2210.6276560528486
-9817.139889717102,2202.6369302112907
-9832.29617023468,2194.7608519914797
-9817.139889717102,2186.9772389493805
122.9806776046753,2172.8393429194934
-9832.29617023468,2165.305871729165
122.9806776046753,2151.486444071588
-9832.29617023468,2144.1833737713005
122.9806776046753,2130.67147807581
-9832.29617023468,2123.590385557447
122.9806776046753,2110.3751381025436
112.66811656951904,2097.3299954290856
122.9806776046753,2084.438859692453
112.66811656951904,2071.7118005710577
122.9806776046753,2059.1330568454537
112.66811656951904,2046.7129133215717
-19838.054369926453,2046.4610254930578
122.9806776046753,2034.2587252861044
-9840.071166038513,2028.131907669107
-19850.738432884216,2028.0010209785482
-29827.86918926239,2033.7402287934015
124.79383563995361,2021.8953952108063
131.4253273010254,2010.1840756165984
112.66811656951904,1998.6191421696426
-9851.393599510193,1992.9134440253601
122.9806776046753,1981.5730221313977
126.05720520019531,1970.3593868812668
-9840.071166038513,1964.9032934749364
-19838.054369926453,1965.125583971803
-29839.837752342224,1970.9329674118158
124.79383563995361,1960.0282295779105
-29827.86918926239,1965.7929048236188
131.4253273010254,1955.0323252670362
112.66811656951904,1944.399852308524
-9861.70616054535,1939.303862650525
122.9806776046753,1928.8656214845307
124.79383563995361,1918.5385663201187
126.05720520019531,1908.3211503553323
-19850.738432884216,1908.8389518828433
-9851.393599510193,1904.0602407655674
-9840.071166038513,1899.3258955330664
-19881.64301586151,1899.8987893450703
-19838.054369926453,1900.4429301711302
131.4253273010254,1890.6338498228579
112.66811656951904,1880.9357897169073
-29839.837752342224,1886.6978589987036
124.79383563995361,1877.1124506915694
126.05720520019531,1867.6235725437218
122.9806776046753,1858.2321886569493
-9840.071166038513,1853.941877466576
-9851.393599510193,1849.7000112828766
-9892.42705821991,1845.521047720558
-29827.86918926239,1851.252493306478
131.4253273010254,1842.1684243238021
112.66811656951904,1833.1827909088927
-9861.70616054535,1829.1504323939162
124.79383563995361,1820.3091000199656
-19850.738432884216,1821.203642691715
126.05720520019531,1812.4846865740576
-19885.580145835876,1813.424689948669
-29827.86918926239,1819.0900865397548
122.9806776046753,1810.506470793343
-9840.071166038513,1806.7034861899956
-9851.393599510193,1802.9413750726333
-19838.054369926453,1803.881329092419
131.4253273010254,1795.5236832566163
124.79383563995361,1787.2465248400454
112.66811656951904,1779.05125238702
-19847.32395839691,1780.0875057165024
106.64093112945557,1772.002445602758
-19838.054369926453,1773.0568425074737
-39813.08432388306,1783.140234845296
-39770.00205993652,1793.1488693577412
-39770.00205993652,1803.0661000334528
-39770.00205993652,1812.8944763197092
-39770.00205993652,1822.6348918644705
-29797.25073814392,1827.875562784748
-29812.407012939453,1833.076455641971
-39770.00205993652,1842.5989097990687
-29754.588357925415,1847.6778410860695
-29754.588357925415,1852.7122328663106
-29754.588357925415,1857.7025735140944
-29754.588357925415,1862.6494226186658
-19789.249040603638,1863.2767173000016
-19801.217599868774,1863.9035954271014
-29754.588357925415,1868.7603969311008
-19764.61424255371,1869.3427318308454
-29754.588357925415,1874.1350154812146
-19764.61424255371,1874.6883579465384
-19764.61424255371,1875.2361058634351
-19764.61424255371,1875.778512766175
-9799.873779296875,1872.1809384604649
-19789.249040603638,1872.7407663387173
-9812.557842254639,1869.1896456970026
-19801.217599868774,1869.76074139121
-19764.61424255371,1870.3119937548372
-19764.61424255371,1870.8586291868553
-19764.61424255371,1871.4007628922218
-9799.873779296875,1867.920348839766
-19789.249040603638,1868.4795416210943
-9812.557842254639,1865.0433688107078
-9799.873779296875,1861.6292934032024
-9812.557842254639,1858.2470548043746
-19801.217599868774,1858.8393313257693
-19789.249040603638,1859.4218746993631
-9799.873779296875,1856.0820228642458
-9799.873779296875,1852.7678595605962
-9812.557842254639,1849.483961306198
-9843.462427139282,1846.2371867080558
-19801.217599868774,1846.859972281875
145.31397247314453,1839.8059233615484
139.94584274291992,1832.8076876905004
-19789.249040603638,1833.4691780488934
-9799.873779296875,1830.3269719913524
-9847.39955329895,1827.22624331137
-19789.249040603638,1827.9001358057658
-9799.873779296875,1824.8130361181568
-9812.557842254639,1821.7533263329417
-9809.14337348938,1818.7147524434938
-9799.873779296875,1815.694730681107
-19801.217599868774,1816.401012766129
-19789.249040603638,1817.0973633302617
-9799.873779296875,1814.1156216698814
-9812.557842254639,1811.1600104033018
-29774.495239257812,1815.5111355693086
-9809.14337348938,1812.5699080751524
-29774.495239257812,1816.8835910202567
-19801.217599868774,1817.5651659072134
-29774.495239257812,1821.8289954968238
-29774.495239257812,1826.0618212298216
145.31397247314453,1819.5781445514774
-19804.22207260132,1820.2398308202578
-19816.906135559082,1820.9010482037345
-9809.14337348938,1818.020911427373
-29774.495239257812,1822.190917835765
-19764.42800426483,1822.826126674543
145.31397247314453,1816.48790065356
-19764.42800426483,1817.137250996352
-19764.42800426483,1817.7811945757896
-19764.42800426483,1818.4203659475163
-9804.435153007507,1815.6202784605662
-9816.403716087341,1812.8431360892118
-19764.42800426483,1813.4914295396914
-19764.42800426483,1814.1348328950608
-19764.42800426483,1814.7734402410563
-9804.435153007507,1812.0284233873572
-9816.403716087341,1809.3057791647423
-9804.435153007507,1806.5971545479172
-9816.403716087341,1803.9102733744253
-9804.435153007507,1801.2367775310931
-9804.435153007507,1798.5804825860678
-9816.403716087341,1795.945369801689
136.0049867630005,1790.0319473742022
132.06785678863525,1784.1585639600319
-9804.435153007507,1781.5920824886123
-9804.435153007507,1779.0421249679778
-29774.495239257812,1783.0349155240024
-9816.403716087341,1780.500494310899
-9804.435153007507,1777.9785710617896
-19804.22207260132,1778.709152116764
-29797.25073814392,1782.658520965003
-9825.764562606812,1780.1606486027022
-9816.403716087341,1777.6757141291148
-9804.435153007507,1775.2027654609979
-9812.557842254639,1772.7480266184982
-19816.906135559082,1773.484938496877
-9809.14337348938,1771.0500330248542
-29812.407012939453,1774.9407035161303
136.0049867630005,1769.3889923479303
145.31397247314453,1763.869022399011
-19804.22207260132,1764.6179212182656
-9843.462427139282,1762.2589875657175
-29797.25073814392,1766.1116290276416
-9816.403716087341,1763.7542862501755
-9812.557842254639,1761.410237814877
136.0049867630005,1756.0195305380666
