Episode 14400, Avg Reward: -75664.23, Total Reward: -680978.09, Final Total Profit: -3401566.50, Total Distance: 11.71
Episode 14500, Avg Reward: -76030.86, Total Reward: -684277.78, Final Total Profit: -3418065.00, Total Distance: 11.71
Episode 14600, Avg Reward: -76456.24, Total Reward: -688106.12, Final Total Profit: -3437181.00, Total Distance: 21.94
Episode 14700, Avg Reward: -76817.21, Total Reward: -691354.91, Final Total Profit: -3453049.50, Total Distance: 4.98
Episode 14800, Avg Reward: -115653.43, Total Reward: -1040880.91, Final Total Profit: -3467726.00, Total Distance: 31.84
Traceback (most recent call last):
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 95, in <module>
    main()
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 60, in main
    loss = agent.learn_from_memory(batch_size=batchSize)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/protomate/marl-ecs-course/Midsem/agent.py", line 106, in learn_from_memory
    loss.backward()
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/_tensor.py", line 521, in backward
    torch.autograd.backward(
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/autograd/__init__.py", line 289, in backward
    _engine_run_backward(
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/autograd/graph.py", line 769, in _engine_run_backward
    return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
