Episode 17600,  Reward: 126.44, Profit: 194.61, Distance: 69.10 Loss: 0.96
Episode 17700,  Reward: 126.44, Profit: 194.61, Distance: 69.10 Loss: 1.32
Episode 17800,  Reward: 126.44, Profit: 194.61, Distance: 69.10 Loss: 1.10
Episode 17900,  Reward: 113.29, Profit: 184.54, Distance: 72.18 Loss: 1.22
Episode 18000,  Reward: 93.94, Profit: 164.74, Distance: 71.74 Loss: 0.91
Episode 18100,  Reward: 113.29, Profit: 184.54, Distance: 72.18 Loss: 1.22
Episode 18200,  Reward: 51.82, Profit: 129.26, Distance: 93.65 Loss: 1.11
Traceback (most recent call last):
  File "/Users/agam/projects/marl-ecs-course/Midsem/modified_tsp.py", line 130, in <module>
    main()
  File "/Users/agam/projects/marl-ecs-course/Midsem/modified_tsp.py", line 70, in main
    loss = agent.learn_from_memory(batch_size=batchSize)
  File "/Users/agam/projects/marl-ecs-course/Midsem/agent.py", line 125, in learn_from_memory
    loss.backward()
  File "/Users/agam/miniconda3/envs/marl/lib/python3.10/site-packages/torch/_tensor.py", line 521, in backward
    torch.autograd.backward(
  File "/Users/agam/miniconda3/envs/marl/lib/python3.10/site-packages/torch/autograd/__init__.py", line 289, in backward
    _engine_run_backward(
  File "/Users/agam/miniconda3/envs/marl/lib/python3.10/site-packages/torch/autograd/graph.py", line 769, in _engine_run_backward
    return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
KeyboardInterrupt
