Episode 10700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 11900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 12000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 12100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 12200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 12300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 12400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 12500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 12600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 12700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 12800, Avg Reward: 39.73, Total Reward: 357.59, Average Profit: 39.73, Average Distance: 4.52
Episode 12900, Avg Reward: 36.44, Total Reward: 327.97, Average Profit: 36.44, Average Distance: 5.48
Episode 13000, Avg Reward: 33.73, Total Reward: 303.53, Average Profit: 33.73, Average Distance: 5.65
Episode 13100, Avg Reward: 33.73, Total Reward: 303.53, Average Profit: 33.73, Average Distance: 5.65
Episode 13200, Avg Reward: 33.68, Total Reward: 303.10, Average Profit: 33.68, Average Distance: 5.23
Episode 13300, Avg Reward: 37.25, Total Reward: 335.28, Average Profit: 37.25, Average Distance: 4.82
Episode 13400, Avg Reward: 27.39, Total Reward: 246.50, Average Profit: 27.39, Average Distance: 7.33
Episode 13500, Avg Reward: 17.51, Total Reward: 157.59, Average Profit: 17.51, Average Distance: 9.18
Episode 13600, Avg Reward: 18.74, Total Reward: 168.68, Average Profit: 18.74, Average Distance: 8.95
Episode 13700, Avg Reward: -0.50, Total Reward: -4.53, Average Profit: -0.50, Average Distance: 10.66
Episode 13800, Avg Reward: -5.22, Total Reward: -46.95, Average Profit: -5.22, Average Distance: 11.31
Episode 13900, Avg Reward: -5.22, Total Reward: -46.95, Average Profit: -5.22, Average Distance: 11.31
Episode 14000, Avg Reward: -3.84, Total Reward: -34.55, Average Profit: -3.84, Average Distance: 10.92
Episode 14100, Avg Reward: -3.34, Total Reward: -30.04, Average Profit: -3.34, Average Distance: 11.16
Episode 14200, Avg Reward: -4.32, Total Reward: -38.86, Average Profit: -4.32, Average Distance: 10.86
Episode 14300, Avg Reward: 0.37, Total Reward: 3.37, Average Profit: 0.37, Average Distance: 10.77
Episode 14400, Avg Reward: -3.89, Total Reward: -35.04, Average Profit: -3.89, Average Distance: 11.61
Episode 14500, Avg Reward: -3.67, Total Reward: -33.00, Average Profit: -3.67, Average Distance: 10.87
