Episode 2470, Avg Loss: 0.0000, Reward: -136150.09375
Episode 2480, Avg Loss: 0.0000, Reward: -136321.6953125
Episode 2490, Avg Loss: 0.0000, Reward: -136515.8125
Episode 2500, Avg Loss: 0.0000, Reward: -136695.59375
Episode 2500 : -136695.59375
Episode 2510, Avg Loss: 0.0000, Reward: -136825.16796875
Episode 2520, Avg Loss: 0.0000, Reward: -136960.265625
Episode 2530, Avg Loss: 0.0000, Reward: -137132.015625
Episode 2540, Avg Loss: 0.0000, Reward: -174635.94921875
Episode 2550, Avg Loss: 0.0000, Reward: -137483.04296875
Episode 2560, Avg Loss: 0.0000, Reward: -137651.78515625
Episode 2570, Avg Loss: 0.0000, Reward: -137857.27734375
Episode 2580, Avg Loss: 0.0000, Reward: -138036.92578125
Episode 2590, Avg Loss: 0.0000, Reward: -176442.35546875
Episode 2600, Avg Loss: 0.0000, Reward: -138361.38671875
Episode 2600 : -138361.38671875
Episode 2610, Avg Loss: 0.0000, Reward: -177000.19140625
Episode 2620, Avg Loss: 0.0000, Reward: -216208.94140625
Episode 2630, Avg Loss: 0.0000, Reward: -138927.671875
Episode 2640, Avg Loss: 0.0000, Reward: -139081.1875
Episode 2650, Avg Loss: 0.0000, Reward: -139291.54296875
Episode 2660, Avg Loss: 0.0000, Reward: -139470.76953125
Episode 2670, Avg Loss: 0.0000, Reward: -139673.44140625
Episode 2680, Avg Loss: 0.0000, Reward: -139823.34375
Episode 2690, Avg Loss: 0.0000, Reward: -220034.36328125
Episode 2700, Avg Loss: 0.0000, Reward: -140177.6015625
Episode 2700 : -140177.6015625
Episode 2710, Avg Loss: 0.0000, Reward: -140379.89453125
Episode 2720, Avg Loss: 0.0000, Reward: -181062.51171875
Episode 2730, Avg Loss: 0.0000, Reward: -181444.55078125
Episode 2740, Avg Loss: 0.0000, Reward: -181754.44140625
Episode 2750, Avg Loss: 0.0000, Reward: -141040.44921875
Episode 2760, Avg Loss: 0.0000, Reward: -182464.04296875
Episode 2770, Avg Loss: 0.0000, Reward: -141340.0625
Episode 2780, Avg Loss: 0.0000, Reward: -183123.05078125
Episode 2790, Avg Loss: 0.0000, Reward: -141806.66015625
Episode 2800, Avg Loss: 0.0000, Reward: -183951.203125
Episode 2800 : -183951.203125
Episode 2810, Avg Loss: 0.0000, Reward: -184385.47265625
Episode 2820, Avg Loss: 0.0000, Reward: -142492.515625
Episode 2830, Avg Loss: 0.0000, Reward: -142676.546875
Episode 2840, Avg Loss: 0.0000, Reward: -142816.0390625
Episode 2850, Avg Loss: 0.0000, Reward: -142955.41015625
Episode 2860, Avg Loss: 0.0000, Reward: -229484.17578125
Episode 2870, Avg Loss: 0.0000, Reward: -143305.7578125
Episode 2880, Avg Loss: 0.0000, Reward: -143433.734375
Episode 2890, Avg Loss: 0.0000, Reward: -143659.52734375
Episode 2900, Avg Loss: 0.0000, Reward: -231637.26171875
Episode 2900 : -231637.26171875
Episode 2910, Avg Loss: 0.0000, Reward: -232391.05859375
Episode 2920, Avg Loss: 0.0000, Reward: -144318.31640625
Episode 2930, Avg Loss: 0.0000, Reward: -144540.10546875
