Episode 12400, Avg Loss: 33216.4330, Reward: -100000.0, exploration: 0.0114
Episode 12500, Avg Loss: 27237.5591, Reward: -100000.0, exploration: 0.0113
Episode 12600, Avg Loss: 31862.5373, Reward: -440461.6875, exploration: 0.0113
Episode 12700, Avg Loss: 31073.2373, Reward: -441935.71875, exploration: 0.0112
Episode 12800, Avg Loss: 29558.1385, Reward: -443735.125, exploration: 0.0111
Episode 12900, Avg Loss: 28787.0425, Reward: -100000.0, exploration: 0.0111
Episode 13000, Avg Loss: 30332.7801, Reward: -100000.0, exploration: 0.0110
Episode 13100, Avg Loss: 28077.2660, Reward: -100000.0, exploration: 0.0110
Episode 13200, Avg Loss: 25486.3113, Reward: -449005.9375, exploration: 0.0109
Episode 13300, Avg Loss: 34139.4812, Reward: -450767.0625, exploration: 0.0109
Episode 13400, Avg Loss: 30988.5055, Reward: -100000.0, exploration: 0.0108
Episode 13500, Avg Loss: 29280.1652, Reward: -805888.03125, exploration: 0.0108
Episode 13600, Avg Loss: 27784.7148, Reward: -454875.5, exploration: 0.0108
Episode 13700, Avg Loss: 24884.6121, Reward: -100000.0, exploration: 0.0107
Episode 13800, Avg Loss: 26335.4761, Reward: -100000.0, exploration: 0.0107
Episode 13900, Avg Loss: 29667.4152, Reward: -459178.96875, exploration: 0.0107
Traceback (most recent call last):
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 79, in <module>
    main()
  File "/home/protomate/marl-ecs-course/Midsem/modified_tsp.py", line 52, in main
    loss = agent.learn_from_memory(batch_size=batchSize)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/protomate/marl-ecs-course/Midsem/agent.py", line 110, in learn_from_memory
    loss.backward()
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/_tensor.py", line 521, in backward
    torch.autograd.backward(
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/autograd/__init__.py", line 289, in backward
    _engine_run_backward(
  File "/home/protomate/.pyenv/versions/3.12.4/lib/python3.12/site-packages/torch/autograd/graph.py", line 769, in _engine_run_backward
    return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
